City	State	ST	County	ShapeID	AreaSqMiles	Population	Territory
Agawam	Massachusetts	MA	Hampden	0	12.31	17,245	Terr 1
Amherst	Massachusetts	MA	Hampshire	1	56.74	29,266	Terr 1
Amherst	Massachusetts	MA	Hampshire	2	0.72	11,032	Terr 1
Barre	Massachusetts	MA	Worcester	3	44.51	5,356	Terr 1
Belchertown	Massachusetts	MA	Hampshire	4	55.34	14,673	Terr 1
Blandford	Massachusetts	MA	Hampden	5	55.79	1,144	Terr 1
Bondsville	Massachusetts	MA	Hampden	6	0.79	716	Terr 1
Brimfield	Massachusetts	MA	Hampden	7	35.29	3,635	Terr 1
Chester	Massachusetts	MA	Hampden	8	31.66	1,414	Terr 1
Chesterfield	Massachusetts	MA	Hampshire	9	13.31	577	Terr 1
Chicopee	Massachusetts	MA	Hampden	10	6.30	22,113	Terr 1
Chicopee	Massachusetts	MA	Hampden	11	12.96	30,571	Terr 1
Chicopee	Massachusetts	MA	Hampden	12	4.76	2,794	Terr 1
Cummington	Massachusetts	MA	Hampshire	13	24.14	1,057	Terr 1
Easthampton	Massachusetts	MA	Hampshire	14	40.94	17,605	Terr 1
East Longmeadow	Massachusetts	MA	Hampden	15	13.08	15,816	Terr 1
East Otis	Massachusetts	MA	Berkshire	16	17.87	596	Terr 1
Feeding Hills	Massachusetts	MA	Hampden	17	12.03	11,310	Terr 1
Gilbertville	Massachusetts	MA	Worcester	18	8.07	1,484	Terr 1
Goshen	Massachusetts	MA	Hampshire	19	12.12	570	Terr 1
Granby	Massachusetts	MA	Hampshire	20	28.05	6,182	Terr 1
Granville	Massachusetts	MA	Hampden	21	73.50	2,174	Terr 1
Hadley	Massachusetts	MA	Hampshire	22	24.61	5,254	Terr 1
Hampden	Massachusetts	MA	Hampden	23	19.58	5,129	Terr 1
Hardwick	Massachusetts	MA	Worcester	24	13.37	624	Terr 1
Hatfield	Massachusetts	MA	Hampshire	25	10.85	2,832	Terr 1
Haydenville	Massachusetts	MA	Hampshire	26	13.45	1,566	Terr 1
Holyoke	Massachusetts	MA	Hampden	27	22.83	40,029	Terr 1
Huntington	Massachusetts	MA	Hampshire	28	39.35	2,548	Terr 1
Leeds	Massachusetts	MA	Hampshire	29	5.24	1,909	Terr 1
Leverett	Massachusetts	MA	Franklin	30	22.92	1,759	Terr 1
Ludlow	Massachusetts	MA	Hampden	31	28.31	21,247	Terr 1
Monson	Massachusetts	MA	Hampden	32	45.42	8,707	Terr 1
Northampton	Massachusetts	MA	Hampshire	33	12.18	15,026	Terr 1
Florence	Massachusetts	MA	Hampshire	34	18.31	11,007	Terr 1
Northampton	Massachusetts	MA	Hampshire	35	0.04	644	Terr 1
North Hatfield	Massachusetts	MA	Hampshire	36	0.75	0	Terr 1
Oakham	Massachusetts	MA	Worcester	37	21.20	1,839	Terr 1
Palmer	Massachusetts	MA	Hampden	38	28.37	8,975	Terr 1
Plainfield	Massachusetts	MA	Hampshire	39	20.79	579	Terr 1
Russell	Massachusetts	MA	Hampden	40	15.88	1,401	Terr 1
Shutesbury	Massachusetts	MA	Franklin	41	20.60	1,464	Terr 1
Southampton	Massachusetts	MA	Hampshire	42	28.96	5,878	Terr 1
South Barre	Massachusetts	MA	Worcester	43	0.11	56	Terr 1
South Hadley	Massachusetts	MA	Hampshire	44	18.37	17,796	Terr 1
Southwick	Massachusetts	MA	Hampden	45	31.66	9,552	Terr 1
Thorndike	Massachusetts	MA	Hampden	46	1.17	495	Terr 1
Three Rivers	Massachusetts	MA	Hampden	47	1.83	2,012	Terr 1
Wales	Massachusetts	MA	Hampden	48	14.71	1,703	Terr 1
Ware	Massachusetts	MA	Hampshire	49	52.35	10,318	Terr 1
Warren	Massachusetts	MA	Worcester	50	15.84	3,137	Terr 1
West Chesterfield	Massachusetts	MA	Hampshire	51	9.30	209	Terr 1
Westfield	Massachusetts	MA	Hampden	52	61.09	40,721	Terr 1
Westfield	Massachusetts	MA	Hampden	53	0.04	1,219	Terr 1
West Hatfield	Massachusetts	MA	Hampshire	54	5.21	451	Terr 1
West Springfield	Massachusetts	MA	Hampden	55	17.53	28,498	Terr 1
West Warren	Massachusetts	MA	Worcester	56	6.75	1,080	Terr 1
Whately	Massachusetts	MA	Franklin	57	5.04	282	Terr 1
Wheelwright	Massachusetts	MA	Worcester	58	1.20	340	Terr 1
Wilbraham	Massachusetts	MA	Hampden	59	22.82	14,344	Terr 1
Williamsburg	Massachusetts	MA	Hampshire	60	31.85	2,249	Terr 1
Woronoco	Massachusetts	MA	Hampden	61	1.81	83	Terr 1
Worthington	Massachusetts	MA	Hampshire	62	31.50	1,081	Terr 1
ZCTA 010XX	Massachusetts	MA	Worcester	63	2.29	0	Terr 1
Springfield	Massachusetts	MA	Hampden	64	0.55	2,556	Terr 1
Springfield	Massachusetts	MA	Hampden	65	5.28	23,083	Terr 1
Springfield	Massachusetts	MA	Hampden	66	1.36	12,360	Terr 1
Longmeadow	Massachusetts	MA	Hampden	67	9.82	16,018	Terr 1
Springfield	Massachusetts	MA	Hampden	68	1.54	11,271	Terr 1
Springfield	Massachusetts	MA	Hampden	69	3.89	25,755	Terr 1
Springfield	Massachusetts	MA	Hampden	70	5.64	31,429	Terr 1
Springfield	Massachusetts	MA	Hampden	71	3.67	13,722	Terr 1
Springfield	Massachusetts	MA	Hampden	72	3.64	13,962	Terr 1
Springfield	Massachusetts	MA	Hampden	73	1.12	2,468	Terr 1
Springfield	Massachusetts	MA	Hampden	74	3.52	7,505	Terr 1
Indian Orchard	Massachusetts	MA	Hampden	75	2.55	9,134	Terr 1
Springfield	Massachusetts	MA	Hampden	76	0.01	0	Terr 1
Pittsfield	Massachusetts	MA	Berkshire	77	55.47	45,887	Terr 1
